t,x,y,th,v,omega,acc,gamma

0,80,60,0.069409,3.4766,-0.27693,0.06935,0.0010394
0.1,80.089,59.821,0.39947,3.4696,-0.27821,0.0706,0.0010442
0.2,80.177,59.641,0.84154,3.44,-0.37263,0.2956,0.077044
0.3,80.266,59.462,0.36664,3.4763,0.4003,-0.36301,-0.63068
0.4,80.354,59.283,0.85307,3.4348,-0.41002,0.4154,0.66119
0.5,80.443,59.103,0.35737,3.4233,0.41783,0.11416,-0.67549
0.6,80.532,58.924,0.81154,3.4614,-0.38282,-0.38061,0.6533
0.7,80.62,58.745,0.52837,3.4423,0.23868,0.19139,-0.50712
0.8,80.709,58.566,0.12881,3.4495,0.3368,-0.072112,-0.080058
0.9,80.797,58.386,0.28312,3.416,-0.13007,0.33468,0.38094
1,80.886,58.207,0.039131,3.4222,0.20566,-0.061532,-0.27394
1.1,80.974,58.028,0.77906,3.4479,-0.62369,-0.25691,0.67672
1.2,81.063,57.848,0.18553,3.4158,0.50029,0.32075,-0.91712
1.3,81.152,57.669,0.31305,3.4284,-0.10748,-0.12657,0.49592
1.4,81.24,57.49,0.38,3.4601,-0.056438,-0.31628,-0.04165
1.5,81.329,57.31,0.70071,3.4356,-0.27032,0.24447,0.17452
1.6,81.417,57.131,0.46754,3.4319,0.19654,0.036827,-0.38094
1.7,81.506,56.952,0.6192,3.3887,-0.12783,0.43254,0.26467
1.8,81.595,56.772,0.21904,3.3673,0.33729,0.21344,-0.37952
1.9,81.683,56.593,0.20725,3.3897,0.0099421,-0.22334,0.2671
2,81.772,56.414,0.15316,3.3678,0.045593,0.21882,-0.02909
2.1,81.86,56.235,0.12244,3.346,0.025896,0.21784,0.016072
2.2,81.949,56.055,0.15978,3.3493,-0.031476,-0.032751,0.046813
2.3,82.038,55.876,0.28229,3.3315,-0.10327,0.17753,0.058579
2.4,82.126,55.697,0.27357,3.3069,0.0073502,0.2463,-0.090259
2.5,82.215,55.517,0.67568,3.3044,-0.33894,0.024835,0.28256
2.6,82.303,55.338,0.50239,3.3202,0.14607,-0.15819,-0.39575
2.7,82.392,55.159,0.35549,3.3474,0.12382,-0.27194,0.01815
2.8,82.481,54.979,0.070531,3.3069,0.24019,0.4054,-0.094953
2.9,82.569,54.8,0.86221,3.2888,-0.66731,0.18045,0.74049
3,82.658,54.621,0.56342,3.2842,0.25185,0.046565,-0.75
3.1,82.746,54.441,0.39584,3.2421,0.14125,0.42068,0.090248
3.2,82.835,54.262,0.75531,3.2681,-0.303,-0.26036,0.36249
3.3,82.923,54.083,0.46329,3.2978,0.24614,-0.29628,-0.44808
3.4,83.012,53.903,0.4038,3.3036,0.050148,-0.058653,0.15993
3.5,83.101,53.724,0.37723,3.322,0.022391,-0.18399,0.022649
3.6,83.189,53.545,0.26609,3.2916,0.09368,0.30423,-0.058169
3.7,83.278,53.366,0.20452,3.3058,0.051898,-0.1414,0.034093
3.8,83.366,53.186,0.49093,3.3056,-0.24142,0.0012368,0.23933
3.9,83.455,53.007,0.52021,3.3064,-0.024676,-0.0080472,-0.17685
4,83.544,52.828,0.5673,3.3296,-0.039696,-0.23124,0.012256
4.1,83.632,52.648,0.77126,3.3193,-0.17192,0.1026,0.10789
4.2,83.721,52.469,0.84414,3.2784,-0.061428,0.40935,-0.090156
4.3,83.809,52.29,0.2383,3.2497,0.51066,0.28642,-0.4668
4.4,83.898,52.11,0.7803,3.2873,-0.45685,-0.37606,0.78946
4.5,83.987,51.931,0.058715,3.324,0.60823,-0.36615,-0.86907
4.6,84.075,51.752,0.20489,3.2924,-0.12321,0.31543,0.59683
4.7,84.164,51.572,0.15688,3.2739,0.040466,0.18482,-0.13355
4.8,84.252,51.393,0.41308,3.3126,-0.21595,-0.38644,0.20923
4.9,84.341,51.214,0.36591,3.3039,0.039763,0.087183,-0.20866
5,84.429,51.035,0.6024,3.2751,-0.19934,0.28768,0.1951
5.1,84.534,50.997,0.20537,3.2759,0.33466,-0.0079823,-0.43573
5.2,84.638,50.96,0.024135,3.2399,0.15277,0.3597,0.14842
5.3,84.742,50.922,0.66638,3.2318,-0.54135,0.081013,0.56637
5.4,84.846,50.885,0.4482,3.1831,0.1839,0.48695,-0.59178
5.5,84.95,50.847,0.85909,3.2121,-0.34634,-0.29019,0.43266
5.6,85.054,50.81,0.30317,3.1765,0.46859,0.35681,-0.66495
5.7,85.158,50.772,0.64613,3.2008,-0.28908,-0.24351,0.61823
5.8,85.262,50.735,0.45884,3.1699,0.15786,0.30901,-0.36469
5.9,85.366,50.697,0.6722,3.138,-0.17984,0.31908,0.27555
6,85.47,50.66,0.11183,3.1786,0.47234,-0.40625,-0.53215
6.1,85.574,50.622,0.63134,3.1589,-0.4379,0.19729,0.74272
6.2,85.678,50.585,0.71722,3.1626,-0.072386,-0.037506,-0.29824
6.3,85.782,50.547,0.38058,3.1678,0.28376,-0.051778,-0.2906
6.4,85.886,50.51,0.37517,3.179,0.004559,-0.11142,0.22781
6.5,85.99,50.472,0.24753,3.1667,0.10758,0.12266,-0.084065
6.6,86.094,50.435,0.60393,3.1966,-0.30041,-0.29859,0.33291
6.7,86.198,50.397,0.12047,3.1508,0.40751,0.45789,-0.57764
6.8,86.302,50.36,0.35255,3.2012,-0.19562,-0.50391,0.49214
6.9,86.406,50.322,0.78842,3.1897,-0.36739,0.11469,0.14016
