t,x,y,th,v,omega,acc,gamma

0,63,80,-0.60864,1.2613,0.0732,-0.0061021,-0.00026202
0.1,62.985,79.801,-0.7154,1.2619,0.073538,-0.006212,-0.00026323
0.2,62.971,79.601,-0.28675,1.2566,-0.29526,0.052595,0.28698
0.3,62.956,79.402,-0.079555,1.253,-0.14272,0.036663,-0.1187
0.4,62.942,79.202,-0.81564,1.2554,0.50702,-0.024669,-0.50559
0.5,62.927,79.003,-0.36493,1.2539,-0.31045,0.015412,0.63612
0.6,62.913,78.803,-0.071508,1.2492,-0.20211,0.047086,-0.08431
0.7,62.898,78.604,-0.94135,1.2425,0.59915,0.06709,-0.6235
0.8,62.884,78.404,-0.10033,1.2476,-0.57929,-0.051209,0.91701
0.9,62.869,78.205,-0.35912,1.2411,0.17826,0.064487,-0.58949
1,62.855,78.005,-0.18598,1.2365,-0.11926,0.046622,0.23152
1.1,62.84,77.806,-0.79719,1.2361,0.421,0.0037931,-0.42041
1.2,62.826,77.606,-0.85637,1.2381,0.040765,-0.020541,0.29588
1.3,62.811,77.407,-0.36883,1.233,-0.33582,0.051257,0.29304
1.4,62.797,77.207,-0.994,1.2402,0.43062,-0.071704,-0.59641
1.5,62.782,77.008,-0.60946,1.2345,-0.26487,0.056418,0.5412
1.6,62.768,76.808,-0.66636,1.2358,0.039192,-0.012224,-0.23661
1.7,62.753,76.609,-0.41641,1.239,-0.17217,-0.031933,0.16447
1.8,62.739,76.409,-0.4674,1.2391,0.035121,-0.001503,-0.1613
1.9,62.724,76.21,-0.85481,1.2464,0.26685,-0.072549,-0.18032
2,62.71,76.011,-0.48097,1.251,-0.2575,-0.046389,0.40803
2.1,62.695,75.811,-0.17847,1.2472,-0.20837,0.03818,-0.038236
2.2,62.681,75.612,-0.66544,1.2493,0.33543,-0.021526,-0.42316
2.3,62.666,75.412,-0.73866,1.2528,0.050432,-0.034511,0.22177
2.4,62.652,75.213,-0.40936,1.2556,-0.22682,-0.028542,0.21574
2.5,62.637,75.013,-0.69958,1.255,0.1999,0.0065296,-0.33205
2.6,62.623,74.814,-0.20243,1.2562,-0.34244,-0.011617,0.42202
2.7,62.608,74.614,-0.96823,1.2624,0.52748,-0.062397,-0.67693
2.8,62.594,74.415,-0.59808,1.2552,-0.25496,0.071958,0.60886
2.9,62.579,74.215,-0.43675,1.2481,-0.11113,0.07064,-0.11192
3,62.565,74.016,-0.52608,1.2507,0.061536,-0.025764,-0.13436
3.1,62.55,73.816,-0.24435,1.2537,-0.19406,-0.030238,0.19889
3.2,62.536,73.617,-0.67776,1.2547,0.29853,-0.0092288,-0.38331
3.3,62.521,73.417,-0.60023,1.2555,-0.053404,-0.0083556,0.27386
3.4,62.507,73.218,-0.45603,1.2555,-0.099321,-7.0183e-05,0.03573
3.5,62.492,73.018,-0.6043,1.2485,0.10213,0.070017,-0.15676
3.6,62.478,72.819,-0.4967,1.2549,-0.074118,-0.064236,0.13715
3.7,62.463,72.62,-0.7689,1.2497,0.1875,0.052403,-0.20358
3.8,62.449,72.42,-0.41632,1.256,-0.24286,-0.063307,0.33488
3.9,62.434,72.221,-0.025928,1.251,-0.2689,0.050439,0.020261
4,62.42,72.021,-0.52833,1.2565,0.34605,-0.055078,-0.47853
4.1,62.405,71.822,-0.71115,1.2609,0.12593,-0.043873,0.17129
4.2,62.391,71.622,-0.79155,1.2647,0.055378,-0.037903,0.054901
4.3,62.376,71.423,-0.79698,1.2598,0.0037375,0.048116,0.040184
4.4,62.362,71.223,-0.38056,1.2608,-0.28683,-0.0097361,0.2261
4.5,62.347,71.024,-0.76193,1.2592,0.26269,0.01633,-0.42761
4.6,62.333,70.824,-0.81091,1.2591,0.033736,0.0012363,0.17816
4.7,62.318,70.625,-0.15384,1.2641,-0.45259,-0.050739,0.37844
4.8,62.304,70.425,-0.10664,1.2671,-0.032509,-0.029712,-0.32689
4.9,62.289,70.226,-0.48864,1.2729,0.26312,-0.057825,-0.23005
5,62.274,70.026,-0.39687,1.2731,-0.063216,-0.0017614,0.25394
5.1,62.132,69.886,-0.054106,1.2765,-0.23609,-0.034084,0.13452
5.2,61.989,69.746,-0.37202,1.271,0.21898,0.054808,-0.35411
5.3,61.846,69.606,-0.58052,1.2962,0.14362,-0.2524,0.05864
5.4,61.703,69.466,-0.087037,1.2597,-0.33991,0.36552,0.37626
5.5,61.56,69.326,-0.55961,1.22,0.32551,0.39659,-0.5178
5.6,61.418,69.186,-0.38448,1.2613,-0.12063,-0.41308,0.34717
5.7,61.275,69.046,-0.78488,1.2209,0.2758,0.40478,-0.30848
5.8,61.132,68.906,-0.87288,1.244,0.060611,-0.23166,0.16745
5.9,60.989,68.766,-0.24984,1.2081,-0.42915,0.35943,0.38111
6,60.846,68.626,-0.61786,1.1462,0.25349,0.61864,-0.5312
6.1,60.704,68.486,-0.045331,1.1641,-0.39436,-0.17892,0.50413
6.2,60.561,68.346,0.92039,1.1293,-0.66519,0.34823,0.21075
6.3,60.418,68.206,0.25963,1.1148,0.45513,0.14435,-0.87178
6.4,60.275,68.066,0.5921,1.1474,-0.229,-0.32576,0.53236
6.5,60.132,67.926,0.37343,1.1814,0.15062,-0.33952,-0.2954
6.6,59.99,67.786,0.88052,1.1872,-0.34928,-0.058633,0.389
6.7,59.847,67.646,0.73254,1.2345,0.10193,-0.47296,-0.35111
6.8,59.704,67.506,0.4898,1.2288,0.1672,0.057787,-0.050793
6.9,59.561,67.366,0.10451,1.2674,0.26539,-0.38608,-0.076404
7,59.418,67.226,0.1841,1.2519,-0.054821,0.15456,0.24917
7.1,59.276,67.086,0.83434,1.2644,-0.44789,-0.12458,0.30587
7.2,59.133,66.946,0.12443,1.3,0.48899,-0.35636,-0.72903
7.3,58.99,66.806,0.20298,1.2751,-0.054103,0.24911,0.42261
7.4,58.847,66.666,0.58239,1.3179,-0.26134,-0.42855,0.16126
7.5,58.704,66.526,0.0080565,1.3093,0.3956,0.086378,-0.5112
7.6,58.562,66.386,0.3158,1.3603,-0.21198,-0.51004,0.47279
7.7,58.419,66.246,0.095596,1.429,0.15168,-0.68717,-0.28298
7.8,58.276,66.106,0.74163,1.3876,-0.44499,0.41396,0.4643
7.9,58.133,65.966,0.67013,1.4471,0.049246,-0.59457,-0.38459
8,57.99,65.826,0.14272,1.4297,0.36328,0.17373,-0.24437
8.1,57.847,65.686,0.30744,1.4695,-0.11346,-0.39775,0.37098
8.2,57.705,65.546,0.19002,1.4335,0.080877,0.36017,-0.15122
8.3,57.562,65.406,0.020564,1.4936,0.11673,-0.60095,-0.027895
8.4,57.419,65.266,0.4125,1.5278,-0.26997,-0.34263,0.30091
8.5,57.276,65.126,0.10778,1.5717,0.2099,-0.43878,-0.37341
8.6,57.133,64.986,0.099226,1.6106,0.0058905,-0.38886,0.15875
8.7,56.991,64.846,0.43378,1.5677,-0.23044,0.42923,0.1839
8.8,56.848,64.705,0.60204,1.6282,-0.1159,-0.60527,-0.089133
8.9,56.705,64.565,0.21411,1.6457,0.26721,-0.17521,-0.29812
9,56.562,64.425,0.54855,1.6834,-0.23036,-0.3764,0.38719
9.1,56.419,64.285,0.37105,1.7213,0.12226,-0.37991,-0.27439
9.2,56.277,64.145,0.1616,1.7475,0.14427,-0.26108,-0.017128
9.3,56.134,64.005,0.44273,1.7625,-0.19364,-0.14997,0.26294
9.4,55.991,63.865,0.64892,1.7916,-0.14203,-0.2914,-0.040159
9.5,55.848,63.725,0.21247,1.8229,0.30063,-0.31299,-0.34446
9.6,55.705,63.585,0.14361,1.783,0.047431,0.39931,0.19703
9.7,55.563,63.445,0.31911,1.8339,-0.12089,-0.50968,0.13098
9.8,55.42,63.305,0.14971,1.8147,0.11668,0.19273,-0.18487
9.9,55.277,63.165,0.52644,1.8375,-0.2595,-0.2285,0.29272
10,55.134,63.025,0.26732,1.8666,0.17848,-0.29079,-0.34081
10.1,55.282,62.89,0.13074,1.8446,0.09408,0.2199,0.065677
10.2,55.429,62.755,0.044541,1.8573,0.059373,-0.12698,0.027007
10.3,55.576,62.62,0.26944,1.9197,-0.15491,-0.62447,0.16674
10.4,55.724,62.484,0.59408,1.9022,-0.22362,0.1758,0.053465
10.5,55.871,62.349,0.33622,1.96,0.17761,-0.57848,-0.31222
10.6,56.018,62.214,0.44805,1.9288,-0.077025,0.31229,0.19815
10.7,56.166,62.079,0.3967,1.9967,0.035365,-0.67917,-0.087457
10.8,56.313,61.944,0.054892,1.9844,0.23544,0.12325,-0.15569
10.9,56.46,61.808,0.67659,2.0004,-0.42823,-0.16,0.51643
11,56.608,61.673,0.094568,2.0585,0.4009,-0.58163,-0.64518
11.1,56.755,61.538,0.42469,2.0239,-0.22739,0.34657,0.4889
11.2,56.903,61.403,0.063986,2.0001,0.24845,0.23765,-0.37028
11.3,57.05,61.267,0.056474,2.011,0.0051746,-0.10895,0.18931
11.4,57.197,61.132,0.56589,2.0024,-0.35089,0.08652,0.27707
11.5,57.345,60.997,0.2309,2.0243,0.23074,-0.21974,-0.4526
11.6,57.492,60.862,0.34338,1.9955,-0.077474,0.28844,0.23984
11.7,57.639,60.727,0.60821,2.019,-0.18241,-0.23507,0.081659
11.8,57.787,60.591,0.6637,1.9505,-0.038227,0.68485,-0.1122
11.9,57.934,60.456,0.62885,1.8879,0.024008,0.62636,-0.048428
12,58.082,60.321,0.13364,1.9325,0.3411,-0.44668,-0.24675
12.1,58.229,60.186,0.43102,1.8844,-0.20484,0.48157,0.42483
12.2,58.376,60.051,0.10836,1.9423,0.22225,-0.57952,-0.33234
12.3,58.524,59.915,0.34797,1.9596,-0.16504,-0.17235,0.30137
12.4,58.671,59.78,0.33025,1.969,0.012204,-0.094072,-0.13792
12.5,58.818,59.645,0.57323,1.9447,-0.16737,0.24262,0.13973
12.6,58.966,59.51,0.55084,1.912,0.015424,0.32761,-0.14224
12.7,59.113,59.374,0.32205,1.8514,0.15759,0.60573,-0.11063
12.8,59.26,59.239,0.53488,1.8377,-0.14659,0.13688,0.2367
12.9,59.408,59.104,0.63454,1.9042,-0.068651,-0.66487,-0.06065
13,59.555,58.969,0.61628,1.9114,0.01258,-0.071836,-0.06321
13.1,59.703,58.834,0.29362,1.8747,0.22225,0.36674,-0.16316
13.2,59.85,58.698,0.39272,1.8228,-0.068262,0.51918,0.22606
13.3,59.997,58.563,0.064201,1.7895,0.22629,0.33226,-0.2292
13.4,60.145,58.428,0.57479,1.8251,-0.3517,-0.35521,0.44976
13.5,60.292,58.293,0.18136,1.8593,0.271,-0.34231,-0.48455
13.6,60.439,58.158,0.044259,1.8816,0.094432,-0.22264,0.1374
13.7,60.587,58.022,0.26449,1.8692,-0.1517,0.12384,0.19153
13.8,60.734,57.887,0.34903,1.9428,-0.058226,-0.73637,-0.072736
13.9,60.882,57.752,0.079895,1.8695,0.18538,0.73316,-0.18956
14,61.029,57.617,0.58951,1.8279,-0.35102,0.41627,0.4174
14.1,61.176,57.481,0.32268,1.8052,0.18379,0.22656,-0.41617
14.2,61.324,57.346,0.32187,1.8427,0.00055323,-0.37449,0.14259
14.3,61.471,57.211,0.36488,1.8143,-0.029627,0.28327,0.023484
14.4,61.618,57.076,0.48486,1.8763,-0.082637,-0.61919,0.04125
14.5,61.766,56.941,0.34757,1.8462,0.094565,0.30048,-0.13789
14.6,61.913,56.805,0.33433,1.9111,0.0091194,-0.64916,0.06649
14.7,62.06,56.67,0.039679,1.8699,0.20295,0.41247,-0.15083
14.8,62.208,56.535,0.50037,1.9184,-0.31732,-0.48562,0.40485
14.9,62.355,56.4,0.0016074,1.9137,0.34355,0.047452,-0.51426
15,62.503,56.265,0.44552,1.9594,-0.30577,-0.45728,0.50526
15.1,62.703,56.262,0.37893,2.0502,0.045868,-0.90769,-0.27362
15.2,62.903,56.259,0.51639,2.0413,-0.094686,0.088933,0.10937
15.3,63.103,56.257,0.4803,2.1301,0.024857,-0.88779,-0.093023
