t,x,y,th,v,omega,acc,gamma
8.2,26.199,90.296,0.25052,3.5988,0.41693,-0.48657,-0.60236
8.3,26.394,90.338,0.12,3.5505,0.2971,0.48274,0.076868
8.4,26.59,90.381,0.22412,3.4723,-0.237,0.78188,0.3426
8.5,26.785,90.423,0.45842,3.4945,-0.53331,-0.22139,0.19008
8.6,26.981,90.465,0.47263,3.4049,-0.032341,0.89572,-0.32135
8.7,27.176,90.508,0.056984,3.4525,0.94609,-0.47591,-0.62763
8.8,27.371,90.55,0.18395,3.4588,-0.28899,-0.062937,0.79226
8.9,27.567,90.592,0.19059,3.5059,-0.015127,-0.47118,-0.17567
9,27.762,90.635,0.45049,3.5274,-0.59159,-0.21519,0.36978
9.1,27.958,90.677,0.2689,3.5758,0.41334,-0.48384,-0.64463
9.2,28.153,90.719,0.31631,3.5438,-0.10792,0.32035,0.33437
9.3,28.349,90.762,0.31332,3.6316,0.0067965,-0.87793,-0.073584
9.4,28.544,90.804,0.26139,3.7246,0.1182,-0.93073,-0.071464
9.5,28.74,90.846,0.025968,3.73,0.53588,-0.053811,-0.26792
9.6,28.935,90.889,0.40766,3.8215,-0.86882,-0.91516,0.90107
9.7,29.131,90.931,0.2467,3.8642,0.36639,-0.42643,-0.79234
9.8,29.326,90.973,0.21009,3.9416,0.083344,-0.77423,0.18156
9.9,29.522,91.016,0.44393,3.9642,-0.53227,-0.22638,0.3949
10,29.717,91.058,0.25562,3.9593,0.42863,0.049092,-0.61638
10.1,29.917,91.064,0.15304,3.9608,0.23349,-0.014213,0.12517
10.2,30.117,91.071,0.3265,3.8687,-0.39483,0.92036,0.40305
10.3,30.317,91.077,0.26172,3.8479,0.14745,0.20803,-0.34786
10.4,30.517,91.083,0.028238,3.9161,0.53146,-0.68154,-0.24633
10.5,30.717,91.089,0.35865,3.956,-0.75208,-0.39887,0.82335
10.6,30.917,91.095,0.23121,3.9808,0.29007,-0.24872,-0.6685
10.7,31.116,91.102,0.4943,3.8923,-0.59885,0.88544,0.57021
10.8,31.316,91.108,0.20693,3.8784,0.65412,0.13919,-0.80373
10.9,31.516,91.114,0.41059,3.7785,-0.46357,0.99827,0.71696
11,31.716,91.12,0.26829,3.786,0.3239,-0.074928,-0.50514
11.1,31.916,91.126,0.34279,3.714,-0.16957,0.72067,0.31655
11.2,32.116,91.133,0.10718,3.6328,0.5363,0.8113,-0.4528
11.3,32.316,91.139,0.38079,3.6295,-0.62281,0.03368,0.74353
11.4,32.516,91.145,0.094588,3.5704,0.65146,0.591,-0.8174
11.5,32.716,91.151,0.49184,3.5731,-0.90423,-0.027722,0.99792
11.6,32.916,91.157,0.12123,3.6301,0.84359,-0.56968,-1.1212
11.7,33.115,91.164,0.50106,3.6355,-0.86457,-0.054204,1.0957
11.8,33.315,91.17,0.42671,3.6717,0.16924,-0.36179,-0.66315
11.9,33.515,91.176,0.11761,3.7271,0.70357,-0.55441,-0.34276
12,33.715,91.182,0.40739,3.817,-0.65962,-0.89904,0.87444
12.1,33.915,91.188,0.15357,3.7398,0.57776,0.77225,-0.79373
12.2,34.115,91.195,0.48066,3.701,-0.74453,0.38826,0.84821
12.3,34.315,91.201,0.13853,3.6603,0.77876,0.40724,-0.97714
12.4,34.515,91.207,0.45514,3.6141,-0.72067,0.46187,0.96183
12.5,34.715,91.213,0.095795,3.53,0.81795,0.8412,-0.98697
12.6,34.915,91.22,0.050028,3.5022,0.10418,0.27749,0.45786
12.7,35.114,91.226,0.092903,3.4029,-0.097593,0.99296,0.12943
12.8,35.314,91.232,0.35208,3.4451,-0.58994,-0.42206,0.31582
12.9,35.514,91.238,0.36971,3.5367,-0.040133,-0.91608,-0.35268
13,35.714,91.244,0.088301,3.4907,0.64054,0.46064,-0.43663
13.1,35.914,91.251,0.32691,3.5316,-0.54313,-0.40958,0.75929
13.2,36.114,91.257,0.33704,3.4757,-0.023043,0.55941,-0.33362
13.3,36.314,91.263,0.1643,3.4909,0.39318,-0.15195,-0.26699
13.4,36.514,91.269,0.33135,3.4598,-0.38024,0.31039,0.49612
13.5,36.714,91.275,0.46683,3.436,-0.30837,0.23796,-0.046107
13.6,36.914,91.282,0.046471,3.4344,0.95682,0.016749,-0.81158
13.7,37.114,91.288,0.0086911,3.3581,0.085995,0.76268,0.55861
13.8,37.313,91.294,0.49755,3.2995,-1.1128,0.58567,0.76895
13.9,37.513,91.3,0.060356,3.3427,0.99515,-0.43114,-1.3521
14,37.713,91.306,0.41666,3.2454,-0.81102,0.97258,1.1586
14.1,37.913,91.313,0.4734,3.2588,-0.12915,-0.13361,-0.4374
14.2,38.113,91.319,0.40697,3.318,0.1512,-0.59212,-0.17983
14.3,38.313,91.325,0.26818,3.2579,0.31592,0.60088,-0.10566
14.4,38.513,91.331,0.40681,3.249,-0.31555,0.088568,0.40507
14.5,38.713,91.337,0.043513,3.1879,0.82694,0.61162,-0.73286
14.6,38.913,91.344,0.067971,3.1073,-0.055673,0.80537,0.56616
14.7,39.113,91.35,0.17445,3.0353,-0.24237,0.72027,0.11976
14.8,39.312,91.356,0.37955,3.0863,-0.46686,-0.5103,0.14401
14.9,39.512,91.362,0.35143,3.0663,0.064019,0.19988,-0.34054
15,39.712,91.368,0.28651,3.1097,0.14776,-0.43404,-0.053719
15.1,39.83,91.394,0.40624,3.1631,-0.27254,-0.53375,0.26961
15.2,39.947,91.419,0.14046,3.126,0.60498,0.37167,-0.5629
15.3,40.065,91.445,0.24108,3.1518,-0.22903,-0.25896,0.53499
15.4,40.182,91.47,0.38199,3.1342,-0.32076,0.17622,0.058842
15.5,40.3,91.496,0.077893,3.1643,0.6922,-0.30027,-0.64977
15.6,40.417,91.521,0.48856,3.1767,-0.93476,-0.12408,1.0436
15.7,40.535,91.547,0.36615,3.2254,0.27864,-0.48759,-0.77835
15.8,40.652,91.572,0.032382,3.2499,0.75972,-0.24441,-0.3086
15.9,40.77,91.598,0.12712,3.3058,-0.21564,-0.55952,0.62566
16,40.887,91.623,0.29127,3.2973,-0.37365,0.084986,0.10136
16.1,41.005,91.648,0.42256,3.2928,-0.29884,0.045137,-0.047987
16.2,41.122,91.674,0.18855,3.239,0.53266,0.53778,-0.53338
16.3,41.24,91.699,0.36865,3.289,-0.40996,-0.49958,0.60465
16.4,41.357,91.725,0.4399,3.28,-0.16217,0.089836,-0.15895
16.5,41.475,91.75,0.52369,3.249,-0.19072,0.31041,0.018311
16.6,41.592,91.776,0.38435,3.2986,0.31716,-0.49596,-0.32578
16.7,41.71,91.801,0.33687,3.3349,0.10806,-0.36362,0.13413
16.8,41.827,91.827,0.51429,3.3782,-0.40385,-0.4332,0.32837
16.9,41.945,91.852,0.050885,3.3479,1.0548,0.30284,-0.93568
17,42.062,91.878,0.038553,3.3301,0.02807,0.17839,0.65862
17.1,42.18,91.903,0.37233,3.3239,-0.75974,0.06176,0.50535
17.2,42.297,91.929,0.12121,3.3165,0.57161,0.074575,-0.85401
17.3,42.415,91.954,0.48968,3.2932,-0.83873,0.23267,0.90468
17.4,42.532,91.979,0.51947,3.2772,-0.067794,0.15983,-0.49453
17.5,42.65,92.005,0.41033,3.2185,0.24842,0.58732,-0.20284
17.6,42.767,92.03,0.43307,3.22,-0.051771,-0.014612,0.19256
17.7,42.885,92.056,0.56186,3.1931,-0.29315,0.26884,0.15483
17.8,43.002,92.081,0.31582,3.231,0.56005,-0.37914,-0.5473
17.9,43.12,92.107,0.49843,3.2589,-0.41566,-0.27913,0.62589
18,43.237,92.132,0.3015,3.2324,0.44824,0.26507,-0.55416
18.1,43.355,92.158,0.36419,3.23,-0.14268,0.023482,0.37906
18.2,43.472,92.183,0.32609,3.2362,0.086728,-0.061999,-0.14716
18.3,43.59,92.209,0.16333,3.2544,0.37046,-0.18142,-0.18201
18.4,43.707,92.234,0.34911,3.2298,-0.42288,0.24595,0.5089
18.5,43.825,92.26,0.082251,3.2567,0.60744,-0.26884,-0.66091
18.6,43.942,92.285,0.12154,3.2577,-0.089429,-0.0097697,0.44701
18.7,44.06,92.31,0.13226,3.262,-0.024393,-0.043571,-0.041718
18.8,44.177,92.336,0.58366,3.2408,-1.0275,0.2124,0.64345
18.9,44.295,92.361,0.28665,3.2311,0.67605,0.096219,-1.0928
19,44.412,92.387,0.49348,3.2074,-0.47079,0.23724,0.73566
19.1,44.53,92.412,0.58412,3.2324,-0.20632,-0.24976,-0.16964
19.2,44.647,92.438,0.19722,3.1743,0.88066,0.58118,-0.69726
19.3,44.765,92.463,0.041003,3.15,0.35559,0.24322,0.33682
19.4,44.882,92.489,0.21714,3.2013,-0.40093,-0.5136,0.48528
19.5,45,92.514,0.40108,3.2234,-0.41869,-0.22051,0.011391
19.6,45.117,92.54,0.40151,3.2639,-0.00097666,-0.40546,-0.26795
19.7,45.235,92.565,0.54379,3.2396,-0.32387,0.24329,0.20713
19.8,45.352,92.59,0.54954,3.1871,-0.013075,0.52464,-0.19937
19.9,45.47,92.616,0.046761,3.1416,1.1444,0.45549,-0.7425
20,45.587,92.641,0.036096,3.1731,0.024275,-0.31476,0.71854
20.1,45.671,92.6,0.543,3.2056,-1.1538,-0.32513,0.7557
20.2,45.755,92.559,0.22546,3.2165,0.72277,-0.10979,-1.2038
20.3,45.838,92.517,0.58662,3.1858,-0.82207,0.30795,0.99096
20.4,45.922,92.476,0.55137,3.1834,0.080248,0.023456,-0.57881
20.5,46.006,92.435,0.5592,3.1452,-0.017819,0.38215,0.062907
