t,x,y,th,v,omega,acc,gamma

0,40,40,0.046488,2.9826,-0.13519,0.0057219,0.00034629
0.1,40.043,40.195,0.14581,2.982,-0.13581,0.005825,0.00034789
0.2,40.086,40.391,0.033653,2.991,0.15336,-0.090309,-0.16103
0.3,40.129,40.586,0.075747,2.9974,-0.057562,-0.063869,0.11746
0.4,40.172,40.781,0.028094,2.9908,0.065164,0.066614,-0.068341
0.5,40.215,40.977,0.061458,2.9987,-0.045624,-0.078918,0.061693
0.6,40.258,41.172,0.12272,2.984,-0.083778,0.14656,0.021246
0.7,40.301,41.367,0.076801,2.9963,0.062797,-0.12322,-0.081621
0.8,40.343,41.563,0.028736,3.0039,0.065726,-0.075571,-0.0016308
0.9,40.386,41.758,0.086659,2.9896,-0.079207,0.14276,0.080707
1,40.429,41.953,0.15967,3.0065,-0.099837,-0.16893,0.011488
1.1,40.472,42.149,0.16943,3.0009,-0.013348,0.055615,-0.048162
1.2,40.515,42.344,0.10661,2.9914,0.085902,0.095727,-0.055269
1.3,40.558,42.539,0.047525,2.9708,0.080797,0.20564,0.0028431
1.4,40.601,42.735,0.12542,2.9514,-0.10651,0.19431,0.1043
1.5,40.644,42.93,0.020875,2.9375,0.14295,0.13918,-0.13892
1.6,40.687,43.125,0.11634,2.9418,-0.13054,-0.0437,0.1523
1.7,40.73,43.321,0.13533,2.9336,-0.025969,0.082623,-0.058233
1.8,40.773,43.516,0.18492,2.9506,-0.067808,-0.17071,0.023298
1.9,40.816,43.711,0.21484,2.9484,-0.040915,0.022491,-0.014975
2,40.859,43.907,0.040888,2.9591,0.23787,-0.10727,-0.15524
2.1,40.902,44.102,0.040259,2.9619,0.00085934,-0.027579,0.13198
2.2,40.944,44.297,0.11822,2.9459,-0.1066,0.15995,0.059841
2.3,40.987,44.493,0.12369,2.9373,-0.0074874,0.085644,-0.055193
2.4,41.03,44.688,0.052972,2.934,0.096707,0.033275,-0.058022
2.5,41.073,44.883,0.20399,2.9367,-0.20651,-0.027485,0.16885
2.6,41.116,45.079,0.13257,2.9409,0.097664,-0.042016,-0.16938
2.7,41.159,45.274,0.11296,2.9546,0.026819,-0.13694,0.039451
2.8,41.202,45.469,0.082786,2.9417,0.04126,0.12882,-0.0080414
2.9,41.245,45.665,0.081063,2.9503,0.0023556,-0.085538,0.021664
3,41.288,45.86,0.012049,2.948,0.094374,0.022755,-0.051241
3.1,41.331,46.055,0.045327,2.9455,-0.045507,0.024732,0.077894
3.2,41.374,46.251,0.1532,2.9384,-0.14751,0.071786,0.056802
3.3,41.417,46.446,0.25749,2.9199,-0.14261,0.18438,-0.0027287
3.4,41.46,46.641,0.08503,2.9267,0.23583,-0.067395,-0.21074
3.5,41.503,46.837,0.072942,2.9199,0.01653,0.067251,0.12212
3.6,41.546,47.032,0.071683,2.9097,0.0017207,0.10289,0.0082469
3.7,41.588,47.228,0.11358,2.9291,-0.057287,-0.19416,0.032859
3.8,41.631,47.423,0.2039,2.9361,-0.12352,-0.070155,0.036883
