t,x,y,th,v,omega,acc,gamma

0,5,60,0.042681,2.9501,0.0011715,-0.15433,-3.7723e-06
0.1,5.1842,60.052,0.041906,2.9658,0.0011769,-0.15711,-3.7898e-06
0.2,5.3684,60.104,0.10979,2.9035,-0.10305,0.62284,0.072957
0.3,5.5526,60.156,0.18791,2.8131,-0.11857,0.90402,0.010867
0.4,5.7369,60.209,0.24895,2.7311,-0.092647,0.82043,-0.018147
0.5,5.9211,60.261,0.16381,2.6503,0.12923,0.8081,-0.15531
0.6,6.1053,60.313,0.061077,2.6059,0.15594,0.44401,-0.018696
0.7,6.2895,60.365,0.022305,2.5553,0.058852,0.50531,0.06796
0.8,6.4737,60.417,0.1367,2.5804,-0.17364,-0.25034,0.16274
0.9,6.6579,60.469,0.16903,2.6671,-0.049075,-0.86741,-0.087196
1,6.8421,60.521,0.13273,2.6133,0.055101,0.53851,-0.072923
1.1,7.0263,60.573,0.022853,2.6492,0.16678,-0.35942,-0.078177
1.2,7.2106,60.626,0.027754,2.5868,-0.007438,0.62425,0.12195
1.3,7.3948,60.678,0.053383,2.5334,-0.038903,0.53414,0.022025
1.4,7.579,60.73,0.14419,2.6167,-0.13783,-0.83329,0.069248
1.5,7.7632,60.782,0.01166,2.5964,0.20116,0.20339,-0.23729
1.6,7.9474,60.834,0.16871,2.6691,-0.23839,-0.72771,0.30768
1.7,8.1316,60.886,0.096225,2.663,0.11003,0.061248,-0.24389
1.8,8.3158,60.938,0.044704,2.7163,0.078203,-0.53304,0.02228
1.9,8.5,60.991,0.10751,2.7715,-0.09534,-0.55154,0.12148
2,8.6843,61.043,0.069023,2.7246,0.058426,0.46857,-0.10764
2.1,8.8685,61.095,0.14348,2.7747,-0.11302,-0.50127,0.12001
2.2,9.0527,61.147,0.10834,2.7506,0.053345,0.24092,-0.11645
2.3,9.2369,61.199,0.09221,2.8111,0.024476,-0.6051,0.020208
2.4,9.4211,61.251,0.072524,2.8067,0.029881,0.04411,-0.0037836
2.5,9.6053,61.303,0.073209,2.8023,-0.0010401,0.04445,0.021645
2.6,9.7895,61.355,0.066526,2.8223,0.010144,-0.19983,-0.0078291
2.7,9.9737,61.408,0.069466,2.8099,-0.0044622,0.1242,0.010225
2.8,10.158,61.46,0.025118,2.7632,0.067315,0.46643,-0.050244
2.9,10.342,61.512,0.069186,2.7786,-0.06689,-0.15421,0.093944
3,10.526,61.564,0.045585,2.7754,0.035824,0.032703,-0.0719
3.1,10.711,61.616,0.042578,2.7404,0.0045636,0.34938,0.021882
3.2,10.895,61.668,0.037707,2.8154,0.0073946,-0.75003,-0.0019817
3.3,11.079,61.72,0.062599,2.8932,-0.037784,-0.77792,0.031625
3.4,11.263,61.773,0.021034,2.8022,0.063091,0.90996,-0.070612
3.5,11.447,61.825,0.025494,2.8829,-0.0067704,-0.80717,0.048903
3.6,11.632,61.877,0.038112,2.934,-0.019152,-0.51066,0.0086672
3.7,11.816,61.929,0.0084451,2.8658,0.045031,0.68163,-0.044928
3.8,12,61.981,0.0060029,2.8325,0.003707,0.33332,0.028927
3.9,12.184,62.033,0.00051735,2.8916,0.0083265,-0.5909,-0.0032336
4,12.369,62.085,0.0066275,2.976,-0.0092746,-0.84413,0.012321
4.1,12.553,62.137,-5.1407e-05,3.0205,0.010138,-0.44523,-0.013589
4.2,12.737,62.19,-0.0042636,3.0939,0.0063937,-0.73321,0.0026209
4.3,12.921,62.242,-0.0099937,3.0738,0.0086977,0.20029,-0.0016128
4.4,13.105,62.294,-0.012617,3.1492,0.0039811,-0.75398,0.0033015
4.5,13.29,62.346,-0.018628,3.0732,0.0091244,0.76009,-0.0036003
4.6,13.474,62.398,-0.016573,3.0329,-0.0031193,0.40364,0.0085706
